"","text"
"474","kecewa banget sama "
"475","tolong dong paket orang jangan seenaknya dirobek kayak gini isinya jilbab kain lho kalau dirobek pake cutter apa nggak takut barang tuh rusak padahal di resi toko oren udah ada detail nama barangnya nggak cuma sekali aja ð"
"476","total ada  paket dibawa oleh sicepat semuað mana kurirnya sama lagi mantap bgt tokopediað"
"477","pake ekspedisi sicepat aman gk yaaaa takut bngt ð"
"478","sad bgt alamatku gbisa dipake buat sicepat"
"479","dah jelas alamat  blt ððð  whyyyyyyy ð"
"480","biasa aja palingan juga yg ngesave  gua rata kurir jne jnt sicepat driver gofood shopefood wkwk  ð risih ga kalo ada yang stalk getcontact kalian"
"481","haloo  paket dengan resi  sudah sampai mana kalo deket saya jemput urgent please ð"
"482","akhirnya kecepatan  melambat teamnya di kota makassar tidak sanggup berakselerasi dengan tim di jakarta mental tim makassar telah terpuruk lambat dan acuh awal keterpurukan perfom sicepat jatuhnya sang jawara "
"483","halo ada yang lagi butuh admin packing aku bisa nihâ â dom jakarta selatan â dekat ekspedisi pengiriman jnt shopee express sicepat â bahan bisa dari aku atau dari kalian â sudah pernah packing pc ã â fee bisa dibicarakan kalau minat bisa langsung dm  ya"
"484","klo pake kurir id express di shopee knp kek berasa lama drpd jntsicepat dll ya"
"485","sicepat ayo tunjukkan kecepatan mu"
"486","jt emang ga secepat shopee express sama sicepat tapi gatau gue nyaman aja pake jamp  ga pernah ada kendala sama pelayanan mereka ditambah abang jamp  yang biasa anter bisa diajak kompromi kalo paket yang dateng ke rumah udah kebanyakan dia mau gue suruh untuk anter ke kantor ðð"
"487","sebel deh sicepat kenapa lama bgt si ngirim paket"
"488","mrie siang ini ke sicepatð"
"489","sicepat nih emang cepet gemes gw  ss semalem jam  barangnya udh sampe di rumah udah kek pake gojek sameday ð"
"490","sicepat mohon kerjasamanya smg paket sy  dibobolð"
"491","bingung sama sicepat giliran minta  xpress kirimknya lama banget  kacau kalah ama reguler  ampun dahhhh"
"492","min  hurry  pickup paket shopee buat resi "
"493","sicepat sing ora cepatcepat amat ngising"
"494","pertama kali paket gw salah kirim ama sicepat ððð "
"495","alahamdulillah pengirim aksesoris alat fitness lancar kami melakukan pengiriman melalui jne jnt gosend sicepat gojek dan grab jika barang ingin di kirim hari ini maka pembayaran sebelum jam  yaaa gaissðð kami akan melayani dengan sebaikâ"
"496","sicepat kargo kok lama banget yaa tanggal  udah sampe gudang kargo daerahku tapi sampai skrg belum dikirim ke aku tt harusnya kemarin tuh dikirim gak sih masa di gudang didiemin aja gitu seharian"
"497","ada yg paketnya pake sicepat ga sih sumpah udh  hari statusnya cuman menunggu proses pengiriman masa "
"498","sicepat kecepetan anjir ð"
"499","gangerti lagi sama bercandaannya pegawai sicepat satu ini ð"
"500","wehh seneng bgt gue sicepat mau buka di rempoa udah ada plangnyaaa tinggal nunggu buka jadi gausah jauh jauh lagi dah ke prapatan durenðð"
"501","kalo kalian ada ongkir yang dipotong dari saldo penjual kudu di usut pokoknya aku ngurus dari tanggal  tanya cs shopee cs sicepat follow  terus karena yakin barangku ngga seberat ituð mari kita lihat apakah senin selasa dananya balik"
"502","capek dehhhh "
"503","love  sicepat mataku langsung melekâº"
"504","tumben sicepat lama bgt  hari sesama jkt"
"505","emang sicepat keren bgt barang dr jkt dikirim ke bandung pagi hari malemnya udah sampe hebattt ð"
"506","lowongan kerja pt sicepat ekspres indonesia posisi lokasi kualifikasi dan melamar buka link  â gabung di channel telegram ð  gratis"
"507","min ini kenapa ya ngestuck kaya gini udah  hari ga dikirim kirim ke alamat "
"508","ð ada yg pernah pake sicepatbest gaa itu biasa berapa hari sih nyampe nya"
"509","sicepat tolol"
"510","sicepat kok paket buyer gw belom sampe juga si"
"511","sicepat apanya cepat ð"
"512","sicepat emang cepat â "
"513","bales woi jan diem aja  jangan kasih jawaban template lg atau ngasih info yg sebenernya udah ada di website dan bisa saya cari sendiri gak guna"
"514","edan  hari ga ada pergerakan sama sekali paket lain yg  ekspedisi lain malah udah nyampe yg bener aja tolong dong wkwkwkwkwk  kalo seller nya ga asal ganti jasa ekspedisi saya udah males urusan sama sicepat sebenernya ini resinya "
"515","hi  kenapa paket saya stuck di satu tempat ya dari kemarin dan ga bergerak dari titik terakhir padahal udah sehari "
"516","buat seller gostore mau tanya dong klo ekspedisinya sicepat emang langsung dpt resi ya bukan cuma shipper id aja maaf ya br pertama buka store soalnya makasii jm"
"517","kurir sicepat yg biasa nganter paket ke rumah tuh ibu sama suaminya gituu selalu boncengan trs tiap ke rumah blm sampe depan rumah bgt udah teriak âcaaa caaa pakeeetttâ beneran sekeras itu kek emak nyuruh anaknya makanð"
"518","ðpromo gostore desember cashback ð  pengiriman dari yogyakarta  subsidi ongkir   ekspedisi jnejntsicepatgosend âdisarankan tidak memilih gosend karena biasanya lebih lama sampai tergantung cuaca dan sering ada kendala di titik mapsâ"
"519","macrame keyringbag keychain motif  rainbow ð   ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia macrame walldecor decor keyring accessories"
"520","kalo begini caranya ran haitani gue kapan sampenya paket dikembalikanpaket menuju tempat andapaket dikembaikan padahal alamat gue dah jelas bgt aslian kapok bgt pake sicepat"
"521","ngakak baca chat sama sicepat ðð   kasian dikit"
"522","dari jakarta doang ke maros perlu waktu lebih dari seminggu ga lagiâ gua    sistemnya halu"
"523","sicepat"
"524","sicepat oh sicepatttttttttt sebenernya kasian sama bapaknya ngirim paket jam  malem gini tapi ya jangan ditaruh depan rumah juga dongð mana tau kalo ada paket untung bapakku yang nemuin pas mau masukin sepeda ð"
"525","asli lama ini anteraja bisa jadi jne   kalo selambat ini masih mending sicepat sebenernya tapi ya namanya gratis ongkir harus terima risiko"
"526","pake sicepat beli sekarang nyampe kemarin"
"527","sicepat cepet banget dah paling lama paling  hari kalo dibandingin sama yang sebelah  hari itu baru nyangkut di jakarta timur"
"528","sicepat pengirimannya benar cepat ð"
"529","nangis bgt paket gue dishopee semua pengirimannya beda kurirðð yg satu jt anteraja sicepat shopee express dan semuanya dikirim hari inið"
"530"," di sicepat tgl  nya event anteraja mntp"
"531","baru kali ini kurir paket datengnya jam malem terbaek emangg sicepat wokwowkowk"
"532","bales dm gua dah   paket saya di pending mulu apa perlu disamper nih ga amanah banget jelek tahu engga service lu "
"533","ngerampok pc terussssss mau buka  kah   dan beneran pcnya ga ada ð"
"534","paket saya di pending mulu apa perlu disamper nih ga amanah banget jelek tahu engga service lu "
"535","halo tolong tanggung jawabnya ya   dan beneran pcnya ga ada ð"
"536","sifasttttt kelakuann lo benerbener yee kerja lo gmna siihhh  ambil pc org hshshh  kelakun kelakuan  ya ampun kirain ga akan ngerasain kayak gini ternyata ngerasain juga âºï liat yaaa ini box udah jelas bgt kebuka solatipnya jg keliatan digunting tolong dong gimana ini  "
"537","halooo  mau tanya dong"
"538","ya ampun kirain ga akan ngerasain kayak gini ternyata ngerasain juga âºï liat yaaa ini box udah jelas bgt kebuka solatipnya jg keliatan digunting tolong dong gimana ini  "
"539","nyesel pake anteraja mending sicepat deh aelah"
"540","memang sicepat ga pernah ngecewain ya aku baru  barang kemarin malam hari ini udah sampe estimasi tibanya padahal masih besok aaaaa sayang banget sama ekspedisinyaðð"
"541","random banget tibatiba kangen oh mess kalo acara award gini yang ngumuminnya bagai sicepat estimasi tanggal  dia nyampe tanggal "
"542","gila sicepat buanter "
"543","ada yg pernah jualan di tokped kalau mau ajuin free ongkir cuma bisa sicepat dan anteraja ya jt gabisa"
"544","akhirnya stlh sekian lama  bisa pake sicepat skrng bsa kangen bgt pake sicepat"
"545","pengalaman "
"546","wal ini knp ya btw ini pke sicepat halu"
"547","pake sicepat ngirim dari cimahi ke bandung biasanya berapa hari"
"548","itu cewe lu apa gerai sicepat ampe dimanamana ada"
"549","berawal dari kesel karena di spam jutek jawab telfon karena kirain penipuan ternyata beneraaannn ððð thank youu  ðâïâï"
"550","kayanya harus pindah ke sicepat dulu"
"551"," ini gimana dehsoalnya seller udh aktifin sicepat sama id express kok ttp gabisað"
"552","beli tanggal  estimasi datang tanggal  dan malam ini udah di tegal wkwk beneran  ððð"
"553","sicepat cepat juga ternyata keren"
"554","sicepat ngegas banget tadi pagi masih di bandung"
"555","kecewaaaaa ni sicepat diaplikasi masi sampe jakarta tau dah sampe rumah ajaaa ðð"
"556","jjur gue baru ngirim  paket anjirr yg satu pake sicepat yg si jnt nah yg jnt ni kan ikut error jga jdinya takut kenapa ððð  guys shopee data center nya kebakaran dont   transaction dlu   time  ya   "
"557","ampun deh sicepat"
"558","yahh pertamakali kecewa cuy pake sicepat  estimasi  desember nyampe ditungguin ini sampe maghrib ga nyampe trnyata dibalikin ke ancol ðð rumah  di ciracasss hufttt tolong bgt besok mau dikasih buat perpisahan puskes ini barangnya ð"
"559","frustasi nyari  cabang sicepat ga nemu"
"560","daftar alamat kantor sicepat ekspress jepara  daftar alamat terbaru"
"561","daftar alamat kantor sicepat ekspress kabupaten kudus  daftar alamat terbaru"
"562","notice halo untuk yang pesanannya pakai ekspedisi ini mungkin kita delay  hari ya karena  resinya ga keluar dari tadið untuk yang mau  hari ini disarankan pilih ekspedisi sicepat dulu yað hope itll  solved soon ðº thank youð"
"563","anteraja makin parah ya masih daerah jakartatangerangbekasi dari kemarin tuh  hari loh apa mereka lagi ada perubahan internal atau gimana deh bekasi jarak toko hanya km tapi hari ini belum sampai ckckck  sicepat semarangbekasih sehari anteraja cant relateððð"
"564","ni nanti tbtb sicepat nongol di depan rumah ð"
"565","lokerbdl lowongan kerja lampung admin finance sicepat"
"566","kecewa banget dah aku sama lu "
"567","teman nanti pilih sicepat "
"568","ayo dong paketku pakai seicepat  udah  hari ga dipickuppickup  "
"569","hehehehehe paket baru sampe kok udah kebuka gini  "
"570","min  untuk nomor resi  mohon segera di pick  ya sampai sekarang belum ada kurir yang datang tapi statusnya begitu di shopeeð"
"571","ini dia nih ð bisa ga ya minta data oengirim ke sicepat ð sumpah lemes bgt   kak dipaketnya ada alamat pickup ga"
"572","sicepat tumben lama dahhhhh tt"
"573","wow sicepat nih sungguh cepat bikin orang emosyyyi"
"574","buset dah sicepat estimasi besok baru dikirim td siang barusan udh sampe kaget wakð"
"575","sumpah sicepat kok lo lama bgt anjiirr sampe skrng ga sampe sampe"
"576"," po nct  merch favorite close po sold  â include est emstax â sealed â pelunasan di ina â freebies ðharga merupakan harga estimasi ya bisa naik atau turun tergantung berat dan tax pengiriman jt dan sicepat ongkir dicek manual atau co di shopee ongkirâï"
"577"," po ateez season greetings  close po    des close po    des book slot  dp   â est emstax  kg â sealed â pelunasan di ina â freebies âï berat diestimasikan tinggi supaya tidak tibatiba berubah jauh pengiriman jt dan sicepat ongkirâïâï"
"578"," preorder ateez  album zero  fever epilogue close po   des  close po   des  pilih versi abc  â freebies â ems  tax â pelunasan saat di ina â pob â sealed pengiriman jt dan sicepat ongkir dicek manual atau co di shopee ongkir otomatisâïâï"
"579","admin  resi   kok masih belum di pick  ya"
"580"," preorder keper mini album vol   impact close po   des close po   des  kalbum random ver set  â freebies â ems  tax gr â pelunasan saat di ina â harga bersih â sealed pengiriman jt dan sicepat ongkir dicek manual âïâï"
"581"," po enhypen season greetings  close po    des close po    des book slot  dp   â est emstax  kg â sealed â pelunasan di ina â freebies â berat diestimasikan tinggi supaya tidak tibatiba berubah jauh pengiriman jt dan sicepat ongkirâïâï"
"582"," preorder ceci  lee dong hae close po   des  close po   des    dp  â freebies â est ems  tax  kg â pelunasan saat di ina â harga bersih â sealed pengiriman jt dan sicepat ongkir dicek manual atau co di shopee ongkir otomatis oleh shopeeâï"
"583","cape ga nemu sicepat"
"584","sicepat yang tidak cepat"
"585","sicepat yang ga cepat amat"
"586","sicepat tolol bgt anjing"
"587","sicepat sesuai namanyaemang cepet banget wkwk estimasi tiba tanggal  desember tanggal  udah nyampe aja paketnya wkwkððð"
"588","sicepat pengen gue maki dah kemarin ga gerak ini pagi taunya paket gue salah dikirim dan ga gerak lg "
"589","cek dm min "
"590","ini si cepat gimana sih nge lacak paket kok paketnya bolakbalik doang isinya dari kemarin cs di telp  gabisa  "
"591","dear  kenapa ya kurir nya ga mau anter paket sampe alamat kenapa kami customer harus ngambil di agen kalo kayak gini harusnya ongkir dipotong ga sih"
"592","anteraja min paket dengan nomor resi  dari tokopedia bandung sampe mana ya karena terkahir update status pengiriman kemarin siang masa lama banget dr bandung ke jakarta kalau sicepat biarpun reguler dikirim kemarin siang hr ini sampe"
"593","halo ada yang lagi butuh admin packing aku bisa nihâ â dom jakarta selatan â dekat ekspedisi pengiriman jnt shopee express sicepat â bahan bisa dari aku atau dari kalian â sudah pernah packing pc ã â fee bisa dibicarakan kalau minat bisa langsung dm  ya"
"594","kenapa sicepat jadi lama ya malah anteraja yang nyampenya secepat kilat ðð"
"595","hallo "
"596","dear kak  mohon informasi untuk resi ini  apakah masuk pengantaran hari ini atau besok yah kaktks"
"597","sicepat tutup ajalah sono dah  beli barang berhari hari kaga dipickup ama kurirnya cok"
"598","terakhir kali pakai  mau lu hilangkan itu barang juga terserah penting uang balik untung di shopee masih bisa ubah pengiriman ditokopedia mendingan cod dapet "
"599","nyesel asli pilih jt harusnya kmrn pilih sicepat aja"
"600","dear sahabat sicepat saat ini call center kamu sedang mengalami gangguan link telepon untuk menanyakan seputar paket kamu bisa menghubungi ke nomor  atau melalui whatsapp     email  costumercarecom"
"601","wts   sell pc bts  tokopedia â jimin â jin â taehyung ðall  condition ðk cashback  gopay ðtangerang selatan âï cuma bisa via gostoreâïgratis ongkir sampai  kirim via gosendsicepatjnt tags wtb wts pc bts tokopedia photocard jin jimin  ina"
"602","halo  boleh minta tolong lacak ga  terus kenapa pending ya paketnya"
"603","pengiriman hari ini udah selesai yaa sicepat udah di pickup tinggal jnt nunggu mang kurirnya pickup makasiii semoga barangnya sampai dengan selamat ke alamat yg dituju ð"
"604","tapi hemat sicepat nga sampe  minggu kaya jnt plis"
"605","gatau deh sicepat sistem pengirimannya pake teleport kayanya"
"606","emang meningan jnt dah drpd sicepat"
"607","customer service nya  lagi libur deh kayanya di telfoninnya dari  jam yang lalu masih aja sibuk terus"
"608","sicepat benar benar cepat"
"609","emang pake sicepat tuh bener cepet sekarang di kirim tiba besok pagi udah dateng tuh pake padahal tulisannya masih di tempat sortir "
"610","sicepat yang tidak cepat hadooohh"
"611","heh terlalu cepat ini kebangetan deh ðð seller juga gercep bgt ngemasnya "
"612","halo kak admin  boleh tolong cek dm thanks beforeðð"
"613","ini garagara atmos tibatiba milihin pake sicepat jd terpaksa berurusan lg sama sicepat"
"614","halo min  kalo bandung timur sortstation itu alamatnya dimana ya"
"615","lowongan kerja pt sicepat ekspress indonesia posisi  kurir freelance kualifikasi   usia maksimal  tahun  pendidikan minimal smp  memiliki hp minimal ram   memiliki sim  selengkapnya di"
"616","hi sahabat sagitarius menurut ramalan sigesithoroskop bulan desember ini akan menjadi bulan yang penuh kebahagiaan bagi sagitarius setelah beberapa bulan sebelumnya melewati beberapa tantangan mana nih sahabat sagitarius komen dulu yuk ð sagitarius sicepatekspres"
"617","halo min tolong cek resi  gak gerak terakhir di jakarta utara  makasih minn"
"618","plis pilih ekspedisi sicepat jgn jnt cape masalah mulu heyð"
"619","sicepat fix pake buroq"
"620","tolong jangan spam dong di wa  sering bener ngirimin ginian"
"621","kuris sicepat sunggu simpleðð"
"622","demi allah sicepat kenapa siiiii"
"623","kenapa sih setiap ngirim paket ke sicepat selalu ditanya isinya apa gua degan soalnya isinya pc anjir"
"624","anteraja ni bikin emosi terus njir udah sampe di ss knp  langsung dianter kurir coba mana setiap pesen di tokped  pernah dpt sicepat  apesla"
"625","wts   sell pc bts  tokopedia event terbaru  november pc tokopedia jin seokjin holo  condition price  gostore  freeongkir    via sicepatjnt tags wtb wts bts tokopedia photocard jin seokjin ina"
"626","sicepat yg tidak cepat lama bgtttt ih ditungguin juga"
"627","tumben dah lama banget sicepat"
"628","gila yaaa sicepat nih jktsolo sehari nyampe hahahah gokil"
"629","min  sigokil nya beneran menggokil min masa seharian gak ada update"
"630","sesuai ekspektasi garcep gaspol sekali ð udah kayak ekspedisi sicepat euy"
"631","tumben deh ini sicepat lama bgt ð kado nih masalahnya mana belum dibungkus"
"632","ini sicepat kok tumben lama yak"
"633","bayangkan gr sicepat tuh pc jt ku hampir hilang ðð bukannya gmn ya kl invoicenya  oke lah tp jgn jg sih lah ini gue co cuma  ribuðð sicepat bikin emosi bgt asli udah ga napsu makan brp hari untung gue ada nomor buat komplain"
"634","wts   sell pc bts  tokopedia event terbaru  november pc tokopedia suga yoongi holo ada damage sesuai pict price  gostore  freeongkir    via sicepatjnt tags wtb wts bts tokopedia photocard suga yoongi ina"
"635","love hate banget sama sicepat"
"636","kurir sicepat lagi lelah letih lesu apa ya"
"637","knp skrg sicepat mulai lambat ya âï"
"638","fakyu sicepatekspres"
"639","cepet banget paket aku sampenya seriuslaaaaa sicepat ni mang dahlah besttttð"
"640","sicepat beneran ekspres njir ððð"
"641","sicepat gak cepat lagi "
"642","dulu dulu kalo belanja di olshop selalu pilih ekspedisi sicepat karna bisa sehari sampe skrg skrg sicepat kok malah jadi silambat ya ð malah jadi cepetan jnt"
"643","mau sungkem sama sicepat gila beneran udah kek jinnya nabi sulaiman alias cepet banget nyampeð"
"644","perasaan dulu sicepat halu masih cepet skrg malah jt yg cepet sampe"
"645","de tgl  nov sampe  des ð "
"646","sumpah lu ngirim paket pake apaan anjir cepet banget padahal reguler "
"647","sicepat daerahku sekarang sering banget kena criss cross kurang nice sih"
"648","hati senang jika pesanan di  dapat kurir  tujuan kota makassarððð lain hal jika dapat   mutlak underestimate masih tetap saja perform gitu lambat gitulah sejak dari bulan lalu lalu tetap tak berubah nasib nyaððð"
"649"," layanan sicepat yang harus kalian ketahui"
"650","pagi min  mohon cek resi  tidak ada pergerakan sejak kemarin mohon dipercepat pengirimannya terima kasih"
"651","wah tumben bgt pake jasa pengiriman  jadi lama bgt nyampe nya biasanya sebelum estimasi tgl nyampe udah nyampe duluan keterangan udah ninggalin jkt  smr ga nyampe bxt juga mungkin lg overload yaa barangnya di pake buat kerja padahal ð"
"652","sicepat ko ga jalan jalan sihhhh katanya cepettt"
"653","sicepat itu sebenernya udah bagus yang di semarang ini yang di jakarta ga tau kenapa ngirim barang  hari ga kelar kelar hari  ga diambil ama kurir hari  baru diambil sorenya hari  statusnya masih keluar dari jkt lagi pada demo mogok kerja atau gimana lamma bener"
"654","besok beli sesuatu pengirimannya pake  aja  luar biasa lambat pengiriman  estimasi waktu biasanya ð"
"655","macrame keyringbag keychain motif  rainbow ð   ð po  hari ð  via dm  inbox ð cashdanamandirishopeepay ð jntjnetikisicepatcod daerah bandar lampung pengiriman seluruh indonesia macrame walldecor decor keyring accessories"
"656","wts    sell ð pc bts  tokopedia event baru dan lama â pc sesuai pict â  saldo gopay minimal  â  info dm aja ya ð gostore  freeongkir    via sicepatjnt tag  wtb wts pc suga jin taehyung jimin jhope jungkook tokped bts tokopedia photocard"
"657","naha ujug ujug diinput di tangerang pls deh sicepat biasanya ngga gini loh biasanya cepet sampe makanya ak pake sicepat trs"
"658","sicepat lurrrrr ââââââââââ citilink pkgtk "
"659","bener yaaa sicepat bener cepeet bgttt asliii dahhh kurirnya ini pake teleport ya tercinta bgt emang "
"660","sicepat beneran cepet bgt asli kalo ngirim paket gue sengaja beli cod biar dtgnya harian lagi besokannya udh paket untung lg ada duit waktu itu"
"661","sicepat ndak gerakgerak"
"662","ini aku yg lagi apes atau emng  yg uda ga sesuai namanya ya paket dr tgl  sampe sekarang lom dianter mondar mandir di gudang mereka ampe gnti kurir lagi hadeh ga sesuai ama nama"
"663","ini sicepat tumbenan banget ngestuck paketnya biasanya kaya buroq cepet banget"
"664","tadi mau ngirim paket kan di  tapi malah dioper ke ekspedisi laen dan katanya lagi gabisa maksudnya gimana deh lagi gangguan ape gimane"
"665","ini sicepat asli ya udah nelfon dr jam set sampe jam  kurang blm sampe juga gua ngantukð"
"666","ðdiskon alerts ð sekarang belanja skincare bisa dapet  âï cashback langsung segede ini âï free ongkir seluruh indonesia reguler maupun  day âï bisa kirim seluruh indonesia ya guys pake pengiriman jnt jne ataupun sicepat"
"667","nih kejadian lagi  sy ada barang udah siap ga ada yg ngabarin pickup gada yg ngetok gada apa tiba update ginianmaunya apa sehapa sih gimana ini   perhatiin nih apa mesti saya disable fitur free ongkir saya"
"668","mun sicepat atau jnt biasana jogjabandung sehari geus nepi ieu anteraja teu maju maju ti kamari di sleman"
"669","jam  siang barang didrop di depok jam  malam udah sampe sicepat pake buroq apa ya"
"670","cah lek dadi kurir mending jnt sicepat opo anteraja menurutmu"
"671","sicepat beneran cepet bener njir dikirim jam  pagi eh skarang dh nyampeð"
"672","cah lek dadi kurir daerah plat ag mending jntsicepat opo anteraja "
"673","judulnya âsicepatâ tapi lemot sumpah jkt  jbg biasanya pakek joo dan tae cuma hr eh yang seharusnya lebih cepat malah sudah  hari nggak sampai juga ð aku teh kudu piye"
"674","kurir sicepat pengiriman jalur setan kah kok udh sampe"
"675","akhirnyo teraso beli di syopi pesen pagi sampenyo sore krn toko di palembang gercep packing kurirnyo sicepat  biasonyo sesamo palembang paling cepat besoknyo"
"676","hdh bsk blm diantar bnr lu sicepat"
"677","akibat balapan sama sicepat  smlekum paket"
"678","ngapain nanya sama kurir sicepat sið   kasian dikit"
"679","aduh nyesel bgt gue pake anteraja paket gue stuck ampe skrg dr tgl  anj nyusahin dh klo gt mending pake jntsicepat gue"
"680","tumben sicepat lama ð"
"681","guys mau nanya serius jne tuh cepet gaksih gue biasanya pake sicepat atau jnt soalnya"
"682","asli sih ini sicepat lagi gercep banget pengirimannya belum  jam sesudah kirim dah sampe rumah aja udah yg ke  kalinya beruntun nih begini semoga aja seterusnya deh gercepnya wkwk"
"683","sicepat yang lelet"
"684","feeling gue jelek mulu emg tiap dapet ekspedisi selain sicepatð"
"685","dari kasus receh pempek palembang ini akhirnya saya sadar kalo    tidak pro umkm dan tidak pro konsumen uninstalltokopedia"
"686","di balik aksi sicepat borong saham digital mediatama dmmx"
"687","ga sekali dua kali loh  tolong edukasi kurirnya lagi thx  anjir tai paket tokopedia bts pc aku dijebol bangsat "
"688","kurir sicepat pd kenapa sih anjg"
"689","emosi banget sama sicepat"
"690","ini butuh  jam banget kah untuk pickup barang  ð"
"691","jasa paket  kenapa lemot ya  pdhl kalo pke jasa   hari sampe slalu tepat tdk telat  eh kena jasa anteraja sdh  hari blm ada kabar  track pun tdk jalan"
"692","sicepat sicepatt semangattt"
"693","ini sicepat pake jin apa gimana dehh nganter nyaa pengiriman dari semarangbogor gak sampe  jam terus paket datang dengan aman daebakkk"
"694","gimanasih ini  kirim paket cmn di  kota udah  hari ga sampeâ ini  kota loh tp kok lama bgt"
"695","ekspedisi sicepat ada masalah apaan si paket gue sesama kota biasanya sehari sampe ini udah  hari gak belum smape juga malah muter jauh ke kota lain stress apa gimana tai"
"696","sicepat bangke lo paket gue dijebol  ribu gue tai"
"697","ini sicepat mana si ko ga pickup"
"698","pesen barang kmarin dr jkt hari ini udh sampe sicepat memang mantap"
"699","beh sicepat  beli barang dari jakarta td pagi jam  sudah nyampe barangnya ðââï"
"700","surely buat siapapun jangan pernah pakai sicepat benar gak pernah sebegininya dengan jasa logistik sampai seperti ini  barang pengiriman medan  jakarta  hari gak sampai sudah telpon cs berkali info toko tutup jam  "
"701","ini knp ya duh barang udh ditungguin juga "
"702","arek jaman saiki sek smp kok isok uwayu ngene yaa raiku mbien pas smp kok koyok logo sicepat ilo cokð  balik sekola"
"703","cdm ya "
"704","jasa kirim si hemat di marketplace oren jg blm pernah tuh nunda paketan sampe berharihari udh paling murah lbh cepat lg kyk namanya "
"705","baru kali ini salah kirim paket baru sadar pas udah dipick  sicepat otak kenapa sih hari inið"
"706","paket saya ko terus dikembalikan ya min tolong dong gimana solusisnya kurir nya juga ga ada nelpon "
"707","aelah gegara sicepat lelet bgt ini anj"
"708","sicepat lemot bgt kesel bgt elah"
"709","halo ada yang lagi butuh admin packing aku bisa nihâ â dom jakarta selatan â dekat ekspedisi pengiriman jnt shopee express sicepat â bahan bisa dari aku atau dari kalian â sudah pernah packing pc ã â fee bisa dibicarakan kalau minat bisa langsung dm  ya"
"710","ini kurir daerah gw tiap mau pickup alasannya gini mulu padahal udah siap dan kurir gak ada yg kesini hubungi aja gak ini udh ke beberapa kali loh  "
"711","pensiun karna masuk  rupanya"
"712","sicepat kenapa lama bgt ngirimnyað"
"713","sumpah sicepat serem bgt ky dikirim pake jinððð"
"714","sumpah sicepat ni naik buroq ya apa pake kekuatan jin tomangð"
"715","sicepat apa anjing gaada celat cepatnya"
"716","minn cek dm dong tq "
"717","wah sudah menjelang akhir tahun aja nih sahabat menjelang akhir tahun ini apasih hadiah yang pengen banget kamu dapatkan ð yuk coba share di kolom komentar siapa tau sicepat bisa kabulin keinginan kamu ð sicepatekspres bersatuuntukmudah akhirtahun"
"718","masih takut tapi emang terbukti sicepat buroknya pengiriman lokal"
"719","sicepat reguler sekarang udah ga cepat lagi"
"720","sicepat cargo ini lama ya"
"721","kena tipu sicepat beli barang estimasi sampai tanggal  sampainya tanggal  ckckck"
"722","jual teh pocinya di tunda dulu ya gaes masih harus slesaikan puzzle nya  teh kopi susu  payattention kurir jne jnt anteraja sicepat dakotacargo indahcargo  jangandibanting dilemparaja fragile"
"723","mas sicepat fav   ramah bangetð"
"724","hallo  bisa koordinasikan pengantaran paket  dan  hari ini"
"725","komplain dm sama  gak ada respon sama sekali "
"726","kenapa anda sekarang lelet heeyy  wkwkwkw pesen  motor saya tuh ini udh lama ngebangke tolong lah aduuhh mekanik udah protes ini bnyk gawean terbengkalai gara nunggu dtg"
"727","abang sicepat cepet pickup paket  donk ples"
"728","baru mau misuh gara tadi pagi status pesanan masih di jakarta utara akhirnya chat langsung admin nanyain kok msh stuck disana eh ternyata dikonfirmasi lg paketnya udah di kota ku dan tinggal anter kerumah cuma di shopee emg statusnya lagi error  sicepat emg cepat ternyata"
"729","sicepat tdi nelpon paket yg mana nie"
"730","sicepat lama bgt takut dijebol"
"731","sicepat tuh keren aku lg di sklh keluargaku pada kerja di infoinchat paket di simpen dimana semoga sicepat ga kaya yg sebelah deh banyak masalah"
"732","yuk tukarkan poin gres kamu  dapatkan evoucher  yang bisa ditukarkan dengan  poin gres buat kamu yang belum punya poin gres yuk daftar melalui  dan tingkatkan terus pengirimanmu menggunakan sicepat ekspres berlaku hingga  januari "
"733","halo  saya nunggu udah  hari tapi barangnya belum dipick  ini gimana butuh urgent padahal estimasi datang hari ini tapi belum dipick  mau datang kapan ayolah    "
"734","kecewa banget gue udah minta pake sicepat eh dikirimnya pake  mana di resinya dibilang udah sampe pastikan nomornya selalu aktif ya kak halah tai gue kemaren nomornya aktif aja gak ditelfon malah tiba dibalikin lgsg ke cilegon bukannya ditelfon dulu mengecewakan"
"735","gila sicepat lama banget ya paket gue dari medan dari tgl  pagi masih di medan medan jugaa katanya tempat sortir ckckckk klo kalo jnt hari ini dah nyampe lol ð  sayang penjualnya cuma nyediain ekspedisi sicepat jd ga bisa milih ckckck"
"736","hadehh paket gie terombang ambing tumben sicepat lamban bgy "
"737","kasih tak sampai  pakai sicepat aja sehari sampai cover coverlagu coversong padi kasihtaksampai"
"738","paketku  sicepat criss cross trs search di twitter pake keyword itu ternyata emang sering criss cross dhhh elahh"
"739","kemaren albumku op  kena bodong semua cd dan perintilannya ilang pake sicepat makanya degdegan waktu nunggu sisanya ampe nazar beginið aku beli sealed tp plastik bawahnya pas di aku udh kebuka lebarð   btw congrats albumnya mendarat dgn selamat emg skrg degan kalo nunggu paket ganteng mahð"
