"","text"
"250","sicepat harusnya ganti nama jadi terlalucepat estimasi barang sampe  hari ini datangnya  hari ðð"
"251","sicepat ððððð"
"252","sicepat lo kenapa cepet bgt anjrid baru dikirim tadi pagi skrng udh otw rumahððð"
"253","tidak lagi menggunakan sicepat kecuali kalau terpaksaðð"
"254","lambat   ujungujungnya beli lagi di toko ð"
"255","sicepat eta emg beneran cepatt"
"256","sicepat lumayan baik disini kurir yang problematic udah gapernah nganter ke rumah lagi maybe diganti"
"257","sicepat beneran cepet nyampenya si"
"258","sicepat sicepat"
"259","sengaja banget pesan  di  semarang pake kurir yg beda atas pake jt express bawah pake sicepat dan pemenangnya adalah"
"260","sicepat flop bgt  hari gk sampe perkiraan sampe besok ð pake jnt  hari sampe emng paling bnr pake jnt aja"
"261","ketika baru  detik bangun tidur siang dan tibatiba pak kurir sicepat ngasih paket sambil foto diemdiem ekspresiku"
"262","info penting berhubung dengan adanya erupsi yang terjadi di gunung semeru kami infokan adanya kendala pengiriman paket untuk wilayah  malang  kecamatan ampelgading dan tirtoyudo lumajang pasirian  kecamatan pronojiwo tempursari dan candipuro prayforsemeru"
"263","ke sicepat pake daster diketawain gak"
"264","sicepat ngebut banget aakk suka ðð nggak ada notif apaapa udah nyampe aja barangnya di rumah ðð"
"265","kalo pake sicepatjnt tu medan ke jakarta berapa lama ya skrg"
