"name"
" Hotel Tentrem Yogyakarta"
" El Hotel Royale Yogyakarta Malioboro"
" Novotel Suites Yogyakarta Malioboro"
" Grand Zuri Malioboro Yogyakarta"
" favehotel Malioboro Yogyakarta"
" @HOM Premiere Timoho"
" Hotel Neo Malioboro"
" Ibis Yogyakarta Malioboro Hotel"
" Grand Senyum Hotel"
" Horaios Malioboro Hotel"
" Duta Garden Hotel"
" Ayola Tasneem Convention Hotel"
" Hotel Unisi Yogyakarta"
" Arte Hotel Malioboro Yogyakarta"
" D'Kaliurang Resort & Convention"
" Griya Jogja Hotel"
" Sabana Homestay"
" Front One Cabin Malioboro Jogja"
" RedDoorz @ Mantrirejon 2"
" Ndalem Malioboro"
" Duta Garden Hotel & Boutique Villa"
" Royal Malioboro Yogyakarta by Aston"
" OYO 206 Hotel Candra Kirana"
" OYO 804 Ndalem Maharani Guest House"
" OYO 857 Pakuncen Malioboro Syariah"
" OYO 1578 Hotel Kuda Putih"
" Anjuma Backpacker"
" S5 Guest House"
" Alexiz Hostel"
" stepHouse"
